"date","BTC","ETH","BNB","SOL","XRP","ADA"
2020-01-01,7200.17431640625,130.802001953125,13.6890830993652,NA,0.192667007446289,0.0334579981863499
2020-01-02,6985.47021484375,127.410179138184,13.0270109176636,NA,0.188042998313904,0.0327510014176369
2020-01-03,7344.88427734375,134.17170715332,13.6604518890381,NA,0.193520992994308,0.0341800004243851
2020-01-04,7410.65673828125,135.069366455078,13.8915119171143,NA,0.194354996085167,0.034595001488924
2020-01-05,7411.3173828125,136.276779174805,14.1110191345215,NA,0.195537000894547,0.0347209982573986
2020-01-06,7769.21923828125,144.304153442383,14.9578075408936,NA,0.221509993076324,0.0372719988226891
2020-01-07,8163.6923828125,143.543991088867,15.0092496871948,NA,0.213917002081871,0.0370469987392426
2020-01-08,8079.86279296875,141.25813293457,14.602933883667,NA,0.209025993943214,0.0364350005984306
2020-01-09,7879.0712890625,138.979202270508,14.4983139038086,NA,0.204898998141289,0.0363590009510517
2020-01-10,8166.55419921875,143.963775634766,15.0258264541626,NA,0.212305992841721,0.0368739999830723
2020-01-11,8037.53759765625,142.927108764648,14.946328163147,NA,0.211851000785828,0.0368250012397766
2020-01-12,8192.494140625,145.873931884766,15.3220834732056,NA,0.215633004903793,0.0376899987459183
2020-01-13,8144.1943359375,144.226593017578,15.2272720336914,NA,0.212616994976997,0.0369659997522831
2020-01-14,8827.7646484375,165.955352783203,16.6261215209961,NA,0.234687000513077,0.0416599996387959
2020-01-15,8807.0107421875,166.230682373047,17.6548118591309,NA,0.232895001769066,0.0425530001521111
2020-01-16,8723.7861328125,164.391006469727,17.0769462585449,NA,0.228573992848396,0.0413910001516342
2020-01-17,8929.0380859375,170.77995300293,18.1351985931396,NA,0.238775998353958,0.0449780002236366
2020-01-18,8942.80859375,175.365676879883,17.8239192962646,NA,0.243285998702049,0.0448510013520718
2020-01-19,8706.2451171875,166.969848632812,17.3692531585693,NA,0.235585004091263,0.0419789999723434
2020-01-20,8657.642578125,167.120513916016,17.3252754211426,NA,0.233296006917953,0.0438730008900166
2020-01-21,8745.89453125,169.697158813477,18.1276664733887,NA,0.237166002392769,0.0459889993071556
2020-01-22,8680.8759765625,168.294158935547,17.798360824585,NA,0.236055999994278,0.0456539988517761
2020-01-23,8406.515625,162.928558349609,17.0214042663574,NA,0.226104006171227,0.043333999812603
2020-01-24,8445.4345703125,163.051177978516,17.0474090576172,NA,0.223040997982025,0.0450039990246296
2020-01-25,8367.84765625,161.283935546875,16.9761066436768,NA,0.220427006483078,0.043248001486063
2020-01-26,8596.830078125,168.077102661133,17.4386329650879,NA,0.230685994029045,0.0445809997618198
2020-01-27,8909.8193359375,170.930892944336,17.6913414001465,NA,0.231222003698349,0.0479120016098022
2020-01-28,9358.58984375,176.370315551758,18.1151351928711,NA,0.238488003611565,0.0528570003807545
2020-01-29,9316.6298828125,175.050338745117,17.9127769470215,NA,0.23573000729084,0.0535140000283718
2020-01-30,9508.9931640625,184.690475463867,18.5904083251953,NA,0.243642002344131,0.0560699999332428
2020-01-31,9350.529296875,180.160171508789,18.2109794616699,NA,0.239233002066612,0.0537929981946945
2020-02-01,9392.875,183.673950195312,18.2183208465576,NA,0.241455003619194,0.0560920014977455
2020-02-02,9344.365234375,188.617538452148,18.448184967041,NA,0.250734001398087,0.0557680018246174
2020-02-03,9293.521484375,189.86506652832,18.4627552032471,NA,0.254626989364624,0.0569790005683899
2020-02-04,9180.962890625,189.250595092773,18.1773662567139,NA,0.26680800318718,0.0559960007667542
2020-02-05,9613.423828125,204.230239868164,19.2150497436523,NA,0.277467995882034,0.0592309981584549
2020-02-06,9729.8017578125,212.339080810547,20.5952625274658,NA,0.282213985919952,0.0597570016980171
2020-02-07,9795.943359375,222.726058959961,22.0622577667236,NA,0.279284000396729,0.0597900003194809
2020-02-08,9865.119140625,223.146514892578,21.7824192047119,NA,0.277242988348007,0.059944000095129
2020-02-09,10116.673828125,228.578567504883,24.3085613250732,NA,0.282456994056702,0.0618089996278286
2020-02-10,9856.611328125,223.522705078125,25.2183151245117,NA,0.274080008268356,0.060394000262022
2020-02-11,10208.236328125,235.851196289062,25.6374034881592,NA,0.280140995979309,0.063228003680706
2020-02-12,10326.0546875,265.406127929688,26.4667625427246,NA,0.304392993450165,0.0683730021119118
2020-02-13,10214.3798828125,268.099243164062,25.4400997161865,NA,0.326705992221832,0.0685809999704361
2020-02-14,10312.1162109375,284.217498779297,26.2969589233398,NA,0.334821999073029,0.0705799981951714
2020-02-15,9889.4248046875,264.728576660156,24.1496505737305,NA,0.306235998868942,0.0638630017638206
2020-02-16,9934.43359375,259.894714355469,23.4663887023926,NA,0.295033991336823,0.0626540035009384
2020-02-17,9690.142578125,266.363433837891,23.5513782501221,NA,0.286572009325027,0.0600420013070107
