"date","ticker","open","high","low","close","volume","adjusted"
2020-01-01,"BTC",7194.89208984375,7254.33056640625,7174.9443359375,7200.17431640625,18565664997,7200.17431640625
2020-01-02,"BTC",7202.55126953125,7212.1552734375,6935.27001953125,6985.47021484375,20802083465,6985.47021484375
2020-01-03,"BTC",6984.4287109375,7413.71533203125,6914.99609375,7344.88427734375,28111481032,7344.88427734375
2020-01-04,"BTC",7345.37548828125,7427.3857421875,7309.51416015625,7410.65673828125,18444271275,7410.65673828125
2020-01-05,"BTC",7410.45166015625,7544.4970703125,7400.53564453125,7411.3173828125,19725074095,7411.3173828125
2020-01-06,"BTC",7410.4521484375,7781.8671875,7409.29296875,7769.21923828125,23276261598,7769.21923828125
2020-01-07,"BTC",7768.68212890625,8178.2158203125,7768.2275390625,8163.6923828125,28767291327,8163.6923828125
2020-01-08,"BTC",8161.935546875,8396.73828125,7956.7744140625,8079.86279296875,31672559265,8079.86279296875
2020-01-09,"BTC",8082.2958984375,8082.2958984375,7842.40380859375,7879.0712890625,24045990466,7879.0712890625
2020-01-10,"BTC",7878.3076171875,8166.55419921875,7726.77490234375,8166.55419921875,28714583844,8166.55419921875
2020-01-11,"BTC",8162.19091796875,8218.359375,8029.64208984375,8037.53759765625,25521165085,8037.53759765625
2020-01-12,"BTC",8033.26171875,8200.0634765625,8009.05908203125,8192.494140625,22903438381,8192.494140625
2020-01-13,"BTC",8189.77197265625,8197.7880859375,8079.70068359375,8144.1943359375,22482910688,8144.1943359375
2020-01-14,"BTC",8140.93310546875,8879.51171875,8140.93310546875,8827.7646484375,44841784107,8827.7646484375
2020-01-15,"BTC",8825.34375,8890.1171875,8657.1875,8807.0107421875,40102834650,8807.0107421875
2020-01-16,"BTC",8812.4814453125,8846.4609375,8612.095703125,8723.7861328125,31313981931,8723.7861328125
2020-01-17,"BTC",8725.2099609375,8958.1220703125,8677.31640625,8929.0380859375,36372139320,8929.0380859375
2020-01-18,"BTC",8927.2119140625,9012.1982421875,8827.33203125,8942.80859375,32337772627,8942.80859375
2020-01-19,"BTC",8941.4453125,9164.3623046875,8620.080078125,8706.2451171875,34217320471,8706.2451171875
2020-01-20,"BTC",8704.6318359375,8745.5908203125,8560.4736328125,8657.642578125,26422375678,8657.642578125
2020-01-21,"BTC",8658.9912109375,8755.7060546875,8544.5205078125,8745.89453125,24097418512,8745.89453125
2020-01-22,"BTC",8744.2109375,8792.994140625,8636.7470703125,8680.8759765625,22600204051,8680.8759765625
