"date","ADA","BNB","BTC","ETH","SOL","XRP"
2020-01-01,NA,NA,NA,NA,NA,NA
2020-01-02,-0.021357327450775,-0.0495736963214597,-0.0302729280961938,-0.0262731053678626,NA,-0.024292697640619
2020-01-03,0.0427071508520842,0.0474799699894812,0.0501717459600322,0.051708737339303,NA,0.0287153463973282
2020-01-04,0.0120685158858516,0.016773065382671,0.00891500982389637,0.00666809573899396,NA,0.0043003660944132
2020-01-05,0.00363543504253583,0.0156779909082161,8.91439326888843e-05,0.00889948656483952,NA,0.00606326079897701
2020-01-06,0.0708977018954746,0.0582774159779382,0.0471614672356608,0.057235290116818,NA,0.124718079531081
2020-01-07,-0.00605500015498972,0.0034332498142593,0.0495268893264047,-0.00528170241917891,NA,-0.03487960488299
2020-01-08,-0.0166574752256454,-0.0274441974048401,-0.0103216732028049,-0.0160525996640857,NA,-0.0231294818880823
2020-01-09,-0.00208807520880194,-0.00719009929321501,-0.0251648511144182,-0.0162646486840927,NA,-0.0199414514330625
2020-01-10,0.0140649028510786,0.0357381240080259,0.035837017057327,0.0352374118553218,NA,0.0355114307544819
2020-01-11,-0.00132969917372705,-0.00530482232336071,-0.0159242899307745,-0.00722693845264022,NA,-0.00214539539484426
2020-01-12,0.0232177779900478,0.0248294901573325,0.0190956190457587,0.020407997067788,NA,0.0176947101962899
2020-01-13,-0.0193962094461715,-0.00620711909310945,-0.00591306438726313,-0.011357143007559,NA,-0.0140855098310195
2020-01-14,0.119542862603261,0.0878870112580157,0.0805965063783667,0.140333167597574,NA,0.0987603121927034
2020-01-15,0.0212089342339854,0.0600333286269468,-0.00235374881413541,0.00165768348909001,NA,-0.00766499783529118
2020-01-16,-0.0276868918390614,-0.0332789909109068,-0.0094947463248598,-0.0111287005785865,NA,-0.0187277379930724
2020-01-17,0.083110016750962,0.0601253416037677,0.0232553387156411,0.0381281273349892,NA,0.0436658892401396
2020-01-18,-0.00282757136229428,-0.0173133875741285,0.001541028275863,0.0264974726652669,NA,0.0187118336082213
2020-01-19,-0.0661764223632662,-0.0258397526455925,-0.0268091025161983,-0.0490601269467223,NA,-0.0321659007853352
2020-01-20,0.0441296244047988,-0.00253514100237329,-0.00559813180609936,0.000901943368066149,NA,-0.00976373665734465
2020-01-21,0.0471031054049686,0.0452728634195902,0.0101419279340558,0.0153002373173798,NA,0.0164522647570535
2020-01-22,-0.0073110211207581,-0.0183329411422721,-0.00746195129476668,-0.00830203536353391,NA,-0.0046912629955107
2020-01-23,-0.0521536593118399,-0.0446347379729359,-0.0321153677231969,-0.0324015819342502,NA,-0.0430739672803562
2020-01-24,0.0378138110758184,0.00152660417390571,0.0046189330082953,0.000752314460227055,NA,-0.0136394956929564
2020-01-25,-0.0398003291403355,-0.00419136687404453,-0.00922930618240869,-0.0108977403175121,NA,-0.0117889982909263
2020-01-26,0.0303567300516505,0.0268811665011057,0.0269968381027716,0.0412564319943591,NA,0.0454908488583567
2020-01-27,0.0720582746141361,0.0143873030774606,0.035760424982362,0.0168365214577371,NA,0.00232085139264049
2020-01-28,0.0982241325187796,0.0236724538970909,0.0491406566935488,0.0313265102373883,NA,0.0309407057654192
2020-01-29,0.0123531413622158,-0.0112335332152038,-0.00449365867281415,-0.0075122676948256,NA,-0.0116318965281337
2020-01-30,0.0466576065026763,0.0371315121300886,0.0204370369180804,0.0536077357410143,NA,0.0330128311758759
2020-01-31,-0.0414575953268717,-0.0206210869536321,-0.0168050486759412,-0.0248350213420307,NA,-0.0182619633229055
2020-02-01,0.0418499129478875,0.000403048366285574,0.00451847215164314,0.0193158790030621,NA,0.00924515424980532
2020-02-02,-0.00579296566389598,0.0125382621958945,-0.00517791023652592,0.0265591827948377,NA,0.037709486492485
